iter	Passed	Remaining
0	2	240
1	4	219
2	11	359
3	12	305
4	14	278
5	16	258
6	18	244
7	20	232
8	21	221
9	23	212
10	25	206
11	27	199
12	28	193
13	30	188
14	32	181
15	33	175
16	35	171
17	36	166
18	38	162
19	39	158
20	41	155
21	43	153
22	45	151
23	47	149
24	49	147
25	50	144
26	52	141
27	53	138
28	55	135
29	56	132
30	58	129
31	59	127
32	61	125
33	63	122
34	64	119
35	66	117
36	67	115
37	69	113
38	71	111
39	73	109
40	75	108
41	75	104
42	77	102
43	79	100
44	80	98
45	82	96
46	83	94
47	85	92
48	87	90
49	90	90
50	91	87
51	93	85
52	94	83
53	96	81
54	96	79
55	98	77
56	99	75
57	101	73
58	102	71
59	104	69
60	105	67
61	107	65
62	108	63
63	109	61
64	111	59
65	112	58
66	114	56
67	115	54
68	117	52
69	119	51
70	121	49
71	123	48
72	125	46
73	127	44
74	128	42
75	130	41
76	132	39
77	134	37
78	136	36
79	137	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	148	24
86	149	22
87	151	20
88	153	18
89	154	17
90	156	15
91	157	13
92	158	11
93	159	10
94	161	8
95	162	6
96	165	5
97	166	3
98	168	1
99	169	0
